aX,aY,aZ,gX,gY,gZ
0.597,0.164,0.869,38.391,-26.672,-13.367
-1.863,0.451,0.707,17.517,39.063,-160.767
-2.530,0.097,0.633,-13.000,44.006,-190.918
-2.950,-0.384,0.683,-64.270,14.709,-206.299
-2.932,-0.936,0.928,-123.718,-48.523,-212.341
-2.434,-1.482,1.323,-159.912,-126.343,-209.473
-1.641,-2.071,1.738,-150.208,-172.729,-208.801
-0.794,-2.643,2.014,-110.229,-166.748,-207.642
-0.277,-3.435,2.286,-75.562,-126.343,-187.866
0.152,-4.000,2.533,-92.896,-91.309,-133.240
0.839,-3.280,2.352,-116.211,-64.575,-30.518
0.706,-1.745,1.965,-38.025,-0.122,96.863
-0.098,-0.433,1.702,85.999,110.107,167.297
-0.804,0.689,1.358,170.898,187.256,172.363
-1.017,1.361,0.916,191.772,197.266,143.860
-0.895,1.534,0.434,130.127,160.339,99.670
-0.726,1.296,0.100,22.461,102.417,57.373
-0.599,0.825,0.015,-71.899,39.612,25.024
-0.456,0.391,0.181,-116.272,-15.625,-0.732
-0.351,0.073,0.453,-109.619,-52.795,-22.400
-0.315,-0.174,0.737,-77.698,-68.359,-42.114
-0.227,-0.343,0.975,-40.649,-69.275,-54.932
-0.175,-0.478,1.131,-12.573,-62.927,-57.373
-0.091,-0.524,1.218,-3.967,-53.406,-48.767
-0.073,-0.528,1.250,-7.202,-40.710,-32.227
-0.103,-0.503,1.225,-11.902,-23.926,-14.771
-0.148,-0.462,1.137,-9.766,-5.676,-2.563
-0.191,-0.412,1.026,0.916,9.583,4.456
-0.216,-0.347,0.907,11.780,19.775,8.789
-0.251,-0.289,0.814,20.752,23.376,12.024
-0.272,-0.226,0.768,25.513,19.897,14.648
-0.279,-0.191,0.769,22.034,11.353,14.832
-0.284,-0.195,0.809,11.169,0.183,13.977
-0.275,-0.223,0.886,-2.197,-10.437,13.306
-0.245,-0.251,0.953,-11.597,-18.127,11.536
-0.255,-0.311,1.032,-12.390,-19.958,10.315
-0.270,-0.360,1.089,-8.057,-18.616,9.338
-0.279,-0.421,1.117,1.099,-14.526,10.254
-0.314,-0.449,1.181,8.545,-9.460,14.221
-0.349,-0.461,1.211,14.465,-3.235,19.470
-0.326,-0.431,1.159,20.752,4.028,23.071
-0.289,-0.414,1.059,26.978,12.146,25.818
-0.288,-0.416,0.943,26.367,19.897,27.771
-0.297,-0.408,0.832,16.785,21.179,31.677
-0.336,-0.412,0.775,-1.770,17.029,37.659
